serial,name,value,notes
20447,CC_dark_offset,1.0,in mV; source_file PARAD-K_QSP2200_SN_20447_Calibration_2026-05-07.pdf
20447,CC_scale_wet,1.00E-17,in Volts/(quanta/cm^2sec)
