serial,name,value,notes
1031,CC_angular_resolution,1.076,Constant; source_file FLORT-K_BBFL2_SN_1031_Calibration_2026-05-01.zip > BBFL2-1031.dev
1031,CC_dark_counts_cdom,49.53,
1031,CC_dark_counts_chlorophyll_a,50.86,
1031,CC_dark_counts_volume_scatter,51.11,
1031,CC_depolarization_ratio,0.039,Constant
1031,CC_measurement_wavelength,700,Constant
1031,CC_scale_factor_cdom,9.095E-02,This calibration not affected by CDOM calibration correction
1031,CC_scale_factor_chlorophyll_a,1.251E-02,
1031,CC_scale_factor_volume_scatter,2.912E-06,
1031,CC_scattering_angle,124,Constant
