serial,name,value,notes
37-12638,CC_a0,-1.591211e-04,source_file CTDMO-S_SBE_37IM_SN_37-12638_Calibration_Files_2026-06-05.zip > 12638.cal
37-12638,CC_a1,3.168891e-04,
37-12638,CC_a2,-5.159529e-06,
37-12638,CC_a3,2.207841e-07,
37-12638,CC_g,-9.778618e-01,
37-12638,CC_h,1.501660e-01,
37-12638,CC_i,-2.040173e-04,
37-12638,CC_j,3.778504e-05,
37-12638,CC_ctcor,3.250000e-06,
37-12638,CC_cpcor,-9.570000e-08,
37-12638,CC_wbotc,2.283797e-07,
37-12638,CC_pa0,1.443935e-02,
37-12638,CC_pa1,4.928099e-04,
37-12638,CC_pa2,-2.814408e-12,
37-12638,CC_ptca0,5.247964e+05,
37-12638,CC_ptca1,2.071338e+00,
37-12638,CC_ptca2,-3.809679e-02,
37-12638,CC_ptcb0,2.558775e+01,
37-12638,CC_ptcb1,-2.500000e-04,
37-12638,CC_ptcb2,0.000000e+00,
37-12638,CC_ptempa0,-7.952173e+01,
37-12638,CC_ptempa1,4.741060e-02,
37-12638,CC_ptempa2,-2.193310e-07,
37-12638,CC_p_range,160,
